text,label_class,label
孩子牙疼虫牙，带去医院看病了。能不能吃这个药呢？,治疗方法,5
老年人心肌梗死的症状有哪些特点？,临床表现(病症表现),3
鼻子里面疼太阳穴疼怎么回事呀，怀孕十一周出现这样的情况有什么好的办法可以缓解？,治疗方法,5
血管瘤，请问该吃什么药能治好，现在孩子才1个月的大，内蒙古婴儿的血管瘤多长时间治疗为佳？,治疗方法,5
本人37岁，孕28周，查空腹血糖5.24，餐后一小时9.47，餐后两小时8.06，请问这可以考虑妊娠糖尿病吗？,定义,0
长步的稳心颗粒无蔗糖跟普通的在效果上有区别吗？如果都是一样的话我就买普通的吃了,其他,12
心绞痛可以运动吗,治疗方法,5
外痔是怎么治疗的？微创手术好吗？你们医院有吗？,治疗方法,5
咋样绕开肺地丝菌病,预防,2
孕晚期总是睡不着失眠严重，要怎么调理呢？我现在基本每天晚上都要在床上折腾一个多小时。,治疗方法,5
我患有结核性脑膜炎现在颅内压正常不知道为什么发烧反复。,病因,1
孕晚期晚上半夜睡不着怎么办好呢？我现在失眠好严重的，有办法改善吗？,治疗方法,5
新生儿4天核磁双侧侧脑室前角旁点状t2flair像高信号是什么意思,定义,0
这段时间一直鼻子不通气，嗓子里有痰，咳不出来，是黄色的，咽不下去咳不出来，要吃什么药,治疗方法,5
请问是高血压引起的中风，导致右半身偏瘫，可以吃中风回春丸吗？自己对药物不清楚，想询问下医生！,治疗方法,5
变异性哮喘可以治愈吗,治愈率,8
碱性磷酸钙结晶沉积病应该看啥医生,所属科室,6
心悸早搏是什么感觉,临床表现(病症表现),3
我上周在市医院检查发现阴唇系带有尖锐湿疣，问下怎么做才能治疗不复发呢?平时应该多吃点什么好？,治疗方法,5
用桑姜注射液或其他注射液直肠给药时如何把握计量？,治疗方法,5
便脓便血有什么方法可以治疗？,治疗方法,5
打扰问一下妇产科静脉血栓病做啥检查,化验/体检方案,10
先天性心脏病患者，可不可以使用增乳产品啊？,禁忌,9
腺泡状软组织肉瘤会传给老人吗,传染性,7
孕期坐骨神经痛怎么办？有没有什么办法可以改善的吗？有知道的吗？,治疗方法,5
我月经来了几天，可我洗头了还吃了一包辣辣咋办,治疗方法,5
孕妇吃钙片还会脚抽筋，怎么回事呢？是不是我吃的钙片牌子不好呢？,病因,1
吃同仁堂跌打丸的时候要忌什么？,禁忌,9
"""哪些人比较容易得血管瘤,我家孩子屁股上长有血管瘤，像旺仔小馒头一样的，有凸起，内蒙古婴儿长在屁股上的血管瘤咋治？""",治疗方法,5
痔疮，肛门瘙痒，直肠也会发生坠痛，痔疮如何针灸？,治疗方法,5
心口发紧，心慌意乱，嘴里还感觉不对劲，感觉左手还没劲，头还有点疼，好几天了，,临床表现(病症表现),3
你好；请问健骨生丸的主治症状及成份分别有那些呢？,其他,12
我的弟弟有癫痫病，已经一年多了。一直都在吃药治疗，但是都没有什么好的效果，该怎么去治疗呢？怎么样治疗好呢,治疗方法,5
眼部神经纤维瘤病有什么饮食禁忌吗？,禁忌,9
您好，肝郁气滞会累及心悸心虚吗？,相关病症,4
如果得了慢性附睾炎易发人群是哪些人,病因,1
孩子的生殖器上起了好多小豆不疼不痒不知道是什么,定义,0
可以问一下病毒性心肌炎有什么定义？,定义,0
打扰问一下小儿月经过多做啥体检呢？,化验/体检方案,10
肾盏憩室看啥科呢,所属科室,6
以前安医生的处方服用过安特尔有明显的效果，现在怎么能买到安特尔。,其他,12
先心病的发病率是怎么样的呢？,其他,12
心绞痛能吃什么食物好,治疗方法,5
怎么办上课睡觉，她不爱说话特别内向,其他,12
怎么治疗脑出血,治疗方法,5
小便痛，是什么原因呢？,病因,1
请问作息时间不规律会导致月经不调吗？,病因,1
心包破损伤是怎么回事？,定义,0
子宫多发肌瘤，做微创能全部清处掉吗,治愈率,8
大便出血！便中没带血，擦拭才有血！屁股不痛不痒！需要去医院，已经3天了！,临床表现(病症表现),3
心电图彩超结果，三尖瓣少量反流，这个是不是要用药物才行。,治疗方法,5
孕妇拉肚子了怎么办~~~急~~急~~急,治疗方法,5
上厕所拉尿很难拉，伴有疼痛感，下腹胀老想上厕所，吃了那个复方石韦胶囊都没有用，反而多喝水有点效果，请问有什么药可以吃吗,治疗方法,5
颈部脊髓损伤可以怎么诊断,化验/体检方案,10
心跳，全身麻痛。会热，无力,临床表现(病症表现),3
医生开葵花通脉颗粒吃完了，你们网上药店有葵花通脉颗粒这个药出售吗？如何购买啊？,其他,12
我家宝宝21天吃母乳一天拉10多次，算不算拉肚子,定义,0
"""我服用半片伲福达,血压在80-120但是有脸部发热.心悸,要不要紧？""",临床表现(病症表现),3
直观一点讲内痔和外痔的区别是什么？,定义,0
采取什么方法抵御老年人缺血性心肌病,预防,2
鼻/鼻型T/NK细胞淋巴瘤如何体检,化验/体检方案,10
孩子身上有一块白斑，不知道什么时候起的，没有去医院检查，请问曲靖夏季孩子身上的白斑会是白癜风吗？,定义,0
现在白斑一直在发展，控制不太住，着急死了，曲靖夏季怎样护理正在发展的白癜风？,治疗方法,5
请问咸板鸭是什么性质的？经期能吃咸板鸭么？,禁忌,9
吃厄贝沙坦片对心脏早搏的人有好处吗？大概要吃多久副作用才会出来,治疗方法,5
绵阳肛肠医院治疗便秘经常性便秘怎么办,治疗方法,5
30天后发现孩子的嘴角红红的，鼓包，医生说没问题，只是个血管瘤，哪我想知道，内蒙古婴儿嘴角的血管瘤能治好不？,治愈率,8
医生您好！我父亲现在心衰极其痛苦，请问怎样帮他缓解呼吸困难?,治疗方法,5
自从吃了这个药物好像血压偶尔偏高这是怎么回事啊医生谢了,病因,1
女性小便有血怎么回事？,病因,1
"""我抽烟,烟龄7年,有慢性支气管炎,现在会有呼吸困难,胸闷,有痰,痰喘,这些症状,怎么办?;""",治疗方法,5
药流20天尿发红有白带白带有臭味带血,临床表现(病症表现),3
大便干，疼，有血，是痔疮。痔疮根据病况分几种？,定义,0
我今年49岁，患有轻度高血压，想问：如果服用补中益气丸会有不良后果吗？如果有，是什么？,禁忌,9
刚患上外痔，要如何预防治疗才好？,治疗方法,5
心肌梗塞恢复期，吃什么药好。请问这是怎么回事？解决办法是什么？,治疗方法,5
多年的外痔怎么能根治？,治愈率,8
大便有点血是直肠癌吗？,定义,0
脸部的白癜风会不会传染？脸上的白斑点不多，就几块，白斑显示出乳白色,传染性,7
多年呼吸困难，检查过，查不出问题，吃过很多药也没用，这个是什么引起的,病因,1
高血压水肿用什么药？,治疗方法,5
咳嗽还有一点点嗓子有痰的声音,临床表现(病症表现),3
风湿性心脏病可以吃什么,禁忌,9
怎么检查有强迫症,化验/体检方案,10
宝宝拉肚子吃什么好啊？,治疗方法,5
痔疮打什么针见效快?,治疗方法,5
请问外阴瘙痒排尿刺痛怎么回事呢？,病因,1
我爸有高血压病史，一直吃降血压药，渐渐的心率也变的低了，我担心会窦性心动过缓，我想问一下窦性心动过缓的症状有哪些呢？,临床表现(病症表现),3
剖腹产后74天了，一直没来月经，最近分泌物增多，类似排卵期的透明能拉丝的，伴随有异味怎么回事，是母乳奶粉混合喂养的。,病因,1
老是盗汗失眠、腰酸背痛，在性事方面也不是很如意,临床表现(病症表现),3
